Name,Ingredients,Instructions
Spaghetti Bolognese,"spaghetti, ground beef ,tomato, sauce, garlic onion","Boil spaghetti. Cook beef with garlic and onion, add sauce and simmer."
Pancakes,"flour, milk, eggs ,sugar, butter","Mix all ingredients into a batter. Fry on a pan until golden brown."
Caesar Salad,"romaine lettuce, croutons, parmesan cheese, caesar dressing","Toss lettuce with croutons, cheese, and dressing."
Chicken Curry,"chicken breast, curry powder, coconut milk, onion, garlic, ginger","Cook chicken with onion, garlic, and ginger. Add curry powder and coconut milk, simmer for 20 minutes."
Tacos,"taco shells, ground beef, cheese, lettuce, tomato, salsa","Cook beef, then fill taco shells with beef, lettuce, tomato, cheese, and salsa."
Vegetable Stir Fry,"bell pepper, broccoli, carrots, soy sauce, sesame oil","Stir fry vegetables in sesame oil, add soy sauce, and cook until tender."
Lasagna,"lasagna noodles, ground beef, tomato sauce, ricotta cheese, mozzarella","Layer cooked noodles with beef, sauce, and cheese. Bake at 350°F for 40 minutes."
Fried Rice,"rice, peas, carrots, eggs, soy sauce, sesame oil","Cook rice and veggies in sesame oil, scramble eggs, mix with rice and soy sauce."
Mushroom Soup,"mushrooms, onion, garlic, vegetable broth, cream","Sauté mushrooms with onion and garlic, add broth and cream, simmer for 20 minutes."
Apple Pie,"apples, sugar, cinnamon, pie crust","Peel and slice apples. Mix with sugar and cinnamon, fill pie crust, and bake at 375°F for 45 minutes."
Biriyani,"Rice,chicken,masala,water,curd","Heat up the water and boil rice,marinate chicken and put in dum"
banana curry,"banana,salt,oil,milk,ushdf,ygf,sygf,gs,",retrgfyrhjyzstugyhfjbihbhrtuehgue
